,author,title,file,nationality,year,year_range
0,A. A. Milne,The Sunny Side,ebooks-unzipped/13441-8.txt,British,1921,1930
1,A. A. Milne,Second Plays,ebooks-unzipped/14734-8.txt,British,1921,1930
2,A. A. Milne,The Red House Mystery,ebooks-unzipped/1872-0.txt,British,1922,1930
3,A. A. Milne,Once on a Time,ebooks-unzipped/27771.txt,British,1917,1920
4,A. A. Milne,The Holiday Round,ebooks-unzipped/5675.txt,British,1912,1920
5,A. A. Milne,First Plays,ebooks-unzipped/7805-8.txt,British,1919,1920
6,A. E. W. Mason,The Four Feathers,ebooks-unzipped/18883-8.txt,British,1902,1910
7,A. Merritt,The Moon Pool,ebooks-unzipped/765-8.txt,American,1918,1920
8,A. P. Herbert,The Secret Battle,ebooks-unzipped/35164-8.txt,British,1919,1920
9,Abraham Cahan,"Yekl, A tale of the New York ghetto",ebooks-unzipped/36715-8.txt,American,1896,1900
10,Abraham Cahan,"The White Terror and The Red, A novel of revolutionary Russia",ebooks-unzipped/39166-8.txt,American,1905,1910
11,Abraham Cahan,"The Imported Bridegroom, And Other Stories of the New York Ghetto",ebooks-unzipped/43028-8.txt,American,1898,1900
12,Achmed Abdullah,"The Ten-foot Chain, or, Can Love Survive the Shackles? A Unique Symposium",ebooks-unzipped/32996-8.txt,British,1920,1920
13,Adeline Sergeant,"A True Friend, A Novel",ebooks-unzipped/23797-8.txt,British,1890,1890
14,Adeline Sergeant,"Name and Fame, A Novel",ebooks-unzipped/30110-8.txt,British,1890,1890
15,Adeline Sergeant,"Under False Pretences, A Novel",ebooks-unzipped/31375-8.txt,British,1889,1890
16,Adeline Trafton,An American Girl Abroad,ebooks-unzipped/32289-8.txt,American,1872,1880
17,Agatha Christie,The Secret Adversary,ebooks-unzipped/1155-0.txt,British,1922,1930
18,Agatha Christie,The Mysterious Affair at Styles,ebooks-unzipped/863-0.txt,British,1920,1920
19,Albert Payson Terhune,Further Adventures of Lad,ebooks-unzipped/2392.txt,American,1922,1930
20,Albert Payson Terhune,His Dog,ebooks-unzipped/2393.txt,American,1922,1930
21,Albert Payson Terhune,Lad: A Dog,ebooks-unzipped/38777-8.txt,American,1919,1920
22,Albert Payson Terhune,Superwomen,ebooks-unzipped/39339-8.txt,American,1916,1920
23,Albert Payson Terhune,Buff: A Collie and other dog-stories,ebooks-unzipped/42804-0.txt,American,1921,1930
24,Albert Payson Terhune,Black Caesar's Clan,ebooks-unzipped/4789.txt,American,1922,1930
25,Aldous Huxley,Crome Yellow,ebooks-unzipped/1999-0.txt,British,1921,1930
26,Aldous Huxley,The Defeat of Youth and Other Poems,ebooks-unzipped/24364-8.txt,British,1918,1920
27,Aldous Huxley,Mortal Coils,ebooks-unzipped/39378-8.txt,British,1922,1930
28,Aldous Huxley,The Burning Wheel,ebooks-unzipped/47912.txt,British,1916,1920
29,Alec Waugh,The Loom of Youth,ebooks-unzipped/18863-8.txt,British,1917,1920
30,Alec Waugh,"The Lonely Unicorn, A novel",ebooks-unzipped/43952-0.txt,British,1922,1930
31,Alec Waugh,"Roland Whately, A Novel",ebooks-unzipped/52020-0.txt,British,1922,1930
32,Alfred Coppel,The Hills of Home,ebooks-unzipped/22102.txt,American,2007,3000
33,Alfred Coppel,Turnover Point,ebooks-unzipped/31287.txt,American,2010,3000
34,Alfred Noyes,"Rada, A Drama of War in One Act",ebooks-unzipped/12220.txt,British,1913,1920
