,author,book_title,nationality,strength,subject,year,year_range,cluster_5,farm,war,machine,family,philosophy,world war one,us civil war,art,sailor,feudalism,christianity,literature,science,factory,statistics,Race (human categorization),probability,industry,novel,city,fiction,nation,nature,revolution,liberalism,evolution,sex,taste,Feelings,manual labor,democracy,poetry,Charity (practice),capitalism,country,ebooks-unzipped/1228.txt,ebooks-unzipped/chance_and_luck.tex,ebooks-unzipped/euclid.tex,ebooks-unzipped/short_hist_math.tex
0,A. A. Milne,The Sunny Side,British,0.238374309012,novel,1921,1930,4,0.038873360671,0.0388207053827,0.0110689704482,0.0314427502825,0.0116191030734,0.0710631222984,0.0273267514864,0.0922263366581,0.0351732537496,0.0357716899388,0.0252395811476,0.0746751275596,0.0100339561946,0.0498415686416,0.0188384399954,0.0208677246124,0.00424281970829,0.0526999001815,0.238374309012,0.0442791963816,0.0382252436105,0.0181972830392,0.0205131339636,0.0194160570345,0.0124475834933,0.0330176600363,0.0282190070491,0.0280890796641,0.0314480464234,0.0124543263372,0.027274518691,0.0492003382659,0.0101624676974,0.034561274572,0.0161473309647,0.0399867629765,0.119977250089,0.00739353532633,0.0889639725354
1,A. A. Milne,Second Plays,British,0.0596229684151,ebooks-unzipped/chance_and_luck.tex,1921,1930,4,0.0159278135191,0.0108895252534,0.00987370725057,0.0194677241087,0.00349878395744,0.0199394633352,0.0131237857449,0.0524309829835,0.0143021046867,0.025544439555,0.0101277015438,0.0252142114252,0.00731218290119,0.0225817347811,0.021608991929,0.0115318199968,0.00459868079904,0.0138699890046,0.0246495916579,0.0141073829441,0.0123866032041,0.00999013222321,0.00693467906859,0.0137229369847,0.00470969171857,0.00679790954723,0.00229883099173,0.0170310345708,0.00942866273522,0.00583041499283,0.0161539852645,0.0458984616596,0.0199022465127,0.0146502106015,0.011163696588,0.0112937315753,0.0596229684151,0.00501719531542,0.0349860377632
2,A. A. Milne,The Red House Mystery,British,0.0905074443169,sailor,1922,1930,0,0.00457323187595,0.0566662580674,0.00937345644405,0.058135925861,0.00799575579067,0.0274343881544,0.0333744442201,0.0635222295482,0.0905074443169,0.0303923275582,0.0155269829227,0.0169417118309,0.00830828462348,0.025825390984,0.0550134793086,0.0319693971093,0.00383673413526,0.017815897899,0.0666222015439,0.0208568980413,0.0150089028656,0.0102528005419,0.0222543056759,0.00823071447047,0.00814313776982,0.0134840728333,0.00281348153357,0.0097658655209,0.0608693371404,0.028081733009,0.0310986827389,0.011328401607,0.0104043853539,0.0441589898765,0.0,0.00382644989664,0.0211933949093,0.000806792351185,0.0128968340385
3,A. A. Milne,Once on a Time,British,0.199713279123,poetry,1917,1920,4,0.0258318817119,0.066048607369,0.0192083220446,0.032969739796,0.00605334380798,0.0848444896101,0.0195724556023,0.0813273981735,0.0105114063008,0.0400956053666,0.0314789917137,0.101953874299,0.0107355302825,0.0660372664101,0.012928872515,0.0107209506383,0.00474908875799,0.00975154763886,0.0708486419906,0.0166042234352,0.0241593449084,0.00788640741,0.0139651885016,0.0274393654372,0.00952025620463,0.0151094902244,0.00366747660385,0.0308456433794,0.0111495166711,0.0132613575028,0.0427071727206,0.199713279123,0.00751643904724,0.0260703538727,0.0286574224255,0.0173067243397,0.127564910305,0.00726980321143,0.110480757653
4,A. A. Milne,The Holiday Round,British,0.130192630323,ebooks-unzipped/chance_and_luck.tex,1912,1920,4,0.0531356337815,0.0295719524098,0.0154252210416,0.0376212028313,0.00995762494248,0.0406877564447,0.01742392442,0.060259600823,0.0150026581697,0.0277739695734,0.0275249453819,0.0636162675898,0.010227947534,0.0770412541818,0.028688510596,0.0240819066402,0.00792689048489,0.0325339630213,0.037838209709,0.0413871922382,0.0254071961108,0.0160956387575,0.0230790309173,0.0221517319886,0.01038510208,0.0191822610403,0.015402575108,0.0374915773333,0.0255877443283,0.0050407469945,0.0301181427178,0.00917508792028,0.0114878457034,0.0364948613721,0.0117744056177,0.0175939456545,0.130192630323,0.0261066451269,0.0729257623263
5,A. A. Milne,First Plays,British,0.0602208280874,poetry,1919,1920,4,0.0139098737348,0.00428748338343,0.00629676872407,0.0175623735323,0.00541645573404,0.0169188867902,0.00628573981732,0.0441082316165,0.00900692684739,0.0186287374235,0.00724113111846,0.0153362873623,0.00596866331389,0.0122823500852,0.00724212069724,0.00463033888006,0.00202030141579,0.015963438996,0.0137788303241,0.0109268652066,0.00759599822849,0.00539654278423,0.0054766326405,0.0127334168336,0.00444012763472,0.00467692316528,0.00310824878693,0.010170944722,0.00739211482232,0.00373380794494,0.0127637698242,0.0602208280874,0.00391696680362,0.0155800909426,0.0112988078432,0.0062055979653,0.0532338448804,0.00318668422271,0.0182292886739
6,A. P. Herbert,The Secret Battle,British,0.275047549592,war,1919,1920,1,0.0574126492555,0.275047549592,0.0614360272001,0.0606686634633,0.0257922136526,0.225944448216,0.101176711936,0.106990831739,0.098441108586,0.202056019565,0.0533121193771,0.0259935304803,0.0193186473656,0.0555640799655,0.0735417268053,0.0672802346972,0.00953997000233,0.113975775218,0.0250300875639,0.0751789893448,0.0061416794025,0.0353374498386,0.0328054986296,0.0342137690177,0.0207108576739,0.0311170212114,0.0255559139017,0.113182701243,0.0547891708769,0.069461700613,0.0466481036915,0.0137622514571,0.017170574795,0.0912034235453,0.0324525287576,0.0303771250996,0.126087680633,0.0126166487993,0.088157136123
7,Abraham Cahan,"Yekl, A tale of the New York ghetto",American,0.259419446049,literature,1896,1900,3,0.0476142724248,0.0807345897549,0.0317497368354,0.0511401312479,0.0306698897006,0.0772923768966,0.0316299877498,0.179257055662,0.0249813969183,0.0553379090831,0.0615189475295,0.259419446049,0.149308712503,0.0520105603282,0.0515585615764,0.0715685938308,0.0113865253385,0.0334098120272,0.224554278895,0.0691130929684,0.131805833162,0.0172658144603,0.0384208767521,0.054951677062,0.0447253794025,0.0336872052833,0.0192963238629,0.130292121542,0.0760023820762,0.0310665929924,0.0576154805954,0.0364438390756,0.0182898572377,0.0608589692906,0.0148290827446,0.0185072704535,0.113586020091,0.0229465479312,0.159196566292
8,Abraham Cahan,"The White Terror and The Red, A novel of revolutionary Russia",American,0.360524831963,democracy,1905,1910,3,0.169913223348,0.205754530369,0.0473088167924,0.140294479455,0.0402308615487,0.285872803653,0.137557771255,0.152116737624,0.0678817443267,0.206425587777,0.0937630970741,0.112496103257,0.0489720081999,0.109225521654,0.0934634305711,0.127820955796,0.00555051343838,0.105919672846,0.0891107471905,0.188141593086,0.0266251163968,0.105446180544,0.0338019257201,0.257714087752,0.182514107747,0.0635213623492,0.0209353128567,0.0512517860173,0.0424076505113,0.0654769906116,0.360524831963,0.0550998238107,0.054141125105,0.201920467142,0.175758620806,0.03859457238,0.128010089521,0.0196334531312,0.139986548991
9,Abraham Cahan,"The Imported Bridegroom, And Other Stories of the New York Ghetto",American,0.104898331782,family,1898,1900,4,0.0469530807101,0.0514806163398,0.0180973488506,0.104898331782,0.0135530442856,0.0540139090875,0.0679267804435,0.0876528593435,0.0606170285778,0.0408917394042,0.0395279731551,0.0556966361586,0.0205768603476,0.037737150456,0.0318065134423,0.0551592692462,0.00348928827168,0.0426082363051,0.0969385986323,0.0352268400432,0.0198612833662,0.0236555617456,0.021875909696,0.0279092723346,0.0317919145339,0.012978670142,0.00620617464746,0.0324456791004,0.0291895864513,0.0307686335024,0.0403284979219,0.0523580599745,0.0428209557866,0.0610459180474,0.0196352707482,0.0144443578229,0.0802873582651,0.0232794782437,0.0779897028625
