,date,title
0,[1682],The Holy War made by Shaddai upon Diabolus
1,[1705],The Consolidator
2,[1720],"The King of Pirates, Being an Account of the Famous Enterprises of Captain, Avery, the Mock King of Madagascar"
3,[1722],"The History and Remarkable Life of the Truly Honourable Colonel Jacque, Commonly called Colonel Jack"
4,[1722],A Journal of the Plague Year
5,[1726],"The History of the Devil, As Well Ancient as Modern: In Two Parts"
6,[1728],Military Memoirs of Capt. George Carleton
7,[1759],A Political Romance
8,[1764],The Castle of Otranto
9,[1766],The Journal to Stella
10,[1768],A Sentimental Journey through France and Italy
11,[1777],The History of Emily Montague
12,[1784],"Damon and Delia, A Tale"
13,[1788],"Mary, A Fiction"
14,[1792],Anna St. Ives
15,[1798],"Posthumous Works, of the Author of A Vindication of the Rights of Woman"
16,[1799],"St. Leon, A Tale of the Sixteenth Century"
17,[1800],"Miles Wallingford, Sequel to ""Afloat and Ashore"""
18,[1800],The Wept of Wish-Ton-Wish
19,[1800],Jack Tier or The Florida Reef
20,[1800],"The Headsman, The Abbaye des Vignerons"
21,[1811],Sense and Sensibility
22,[1813],"The Last Of The Barons, Volume 10."
23,[1814],Mansfield Park
24,[1821],The Spy
25,[1823],"The Pioneers, Or, The Sources of the Susquehanna"
26,[1828],The Voyage of Captain Popanilla
27,[1831],Crotchet Castle
28,[1832],Ixion In Heaven
29,[1834],Lives of the Necromancers
30,[1834],Guy Rivers: A Tale of Georgia
31,[1834],Coningsby
32,[1835],Sketches from Memory
33,[1836],Sunday under Three Heads
34,[1837],"Snarley-yow, or The Dog Fiend"
35,[1837],Twice-Told Tales
36,[1837],The Pickwick Papers
37,[1838],Sketches of Young Gentlemen
38,[1838],Oliver Twist
39,[1838],"Zenobia, or, The Fall of Palmyra"
40,[1839],Hyperion
41,[1840],Master Humphrey's Clock
42,[1840],"Letters of Horace Walpole, Volume II"
43,[1841],"Guy Fawkes, or The Gunpowder Treason"
44,[1842],Biographical Stories
45,[1843],Life And Adventures Of Martin Chuzzlewit
46,[1843],Autobiography of a Pocket-Hankerchief
47,[1844],The Chimes
48,[1844],The Settlers in Canada
49,[1844],Barry Lyndon
50,[1845],"Sybil, or the Two Nations"
51,[1845],The Complete Poetical Works of Henry Wadsworth Longfellow
52,[1847],"The Narrative of William W. Brown, a Fugitive Slave"
53,[1847],The Macdermots of Ballycloran
54,[1847],"Evangeline, A Tale of Acadie"
55,[1847],"History, Manners, and Customs of the North American Indians"
56,[1848],The Book of Snobs
57,[1849],Redburn. His First Voyage
58,[1849],The History of Pendennis
59,[1849],"The Caxtons, Complete"
60,[1850],The Scarlet Letter
61,[1850],The Personal History of David Copperfield
62,[1850],David Copperfield
63,[1850],The Lake Gun
64,[1850],"What Will He Do With It, Complete"
65,[1851],The Snow Image
66,[1852],Sermons on National Subjects
