,cluster_id,number_of_clusters,top_words
0,0,3,"ain, couldn, didn, doesn, don, hadn, haven, isn, know, ll, man, ve, wasn, won, wouldn"
1,1,3,
2,2,3,"dollars, hadnt, shouldnt, youve"
3,0,4,"honour, mamma"
4,1,4,"arent, dollars, hadnt, shouldnt, telephone, theyre, whats, youve"
5,2,4,"cabin, canoe, island, palace, ships, trail, troops"
6,3,4,"ain, couldn, didn, doesn, don, hadn, haven, isn, know, ll, man, ve, wasn, won, wouldn"
7,0,5,"aboard, ashore, beach, boats, cabin, canoe, island, jungle, rifle, sailors, schooner, ships, trail, vessel"
8,1,5,"drawingroom, honour, mamma"
9,2,5,"ain, couldn, didn, doesn, don, hadn, haven, isn, know, ll, man, ve, wasn, won, wouldn"
10,3,5,"arent, dollars, hadnt, police, shouldnt, telephone, theyre, whats, youve"
11,4,5,"castle, palace, priest, thine, throne, troops"
12,0,6,"beach, boats, cabin, canoe, island, jungle, sailors, schooner, ships, troops, vessel"
13,1,6,"ain, couldn, didn, doesn, don, hadn, haven, isn, know, ll, man, ve, wasn, won, wouldn"
14,2,6,"drawingroom, honour, mamma"
15,3,6,"cabin, canoe, cattle, dollars, ranch, reckon, revolver, rifle, saddle, stove, trail, youve"
16,4,6,"arent, dollars, hadnt, police, shouldnt, telephone, theyre, whats, youve"
17,5,6,"castle, kingdom, kings, palace, priest, priests, prince, shalt, thine, throne"
18,0,7,"aboard, ashore, beach, boats, cabin, canoe, island, jungle, rifle, sailor, sailors, schooner, ships, trail, vessel"
19,1,7,"castle, palace, priest"
20,2,7,"cavalry, colonel, column, firing, honour, military, monsieur, prisoners, regiment, rifle, sergeant, troops"
21,3,7,"ain, couldn, didn, doesn, don, hadn, haven, isn, know, ll, man, ve, wasn, won, wouldn"
22,4,7,"arent, awfully, colour, drawingroom, hadnt, honour, lunch, mustnt, realised, shant, shouldnt, studio, theyre, whats, youve"
23,5,7,"cents, color, dollars, hadnt, police, ranch, theyre, youve"
24,6,7,"cottage, darling, drawingroom, honour, lawyer, mamma, niece, parish"
25,0,8,"cabin, canoe, cattle, dollars, ranch, reckon, revolver, rifle, saddle, stove, trail, wagon, youve"
26,1,8,"cents, dollar, dollars, hadnt, railroad, youve"
27,2,8,"honour, priest"
28,3,8,"arent, awfully, colour, drawingroom, hadnt, lunch, mustnt, shant, shouldnt, theyre, whats, youve"
29,4,8,"ain, couldn, didn, doesn, don, hadn, haven, isn, know, ll, man, ve, wasn, won, wouldn"
30,5,8,"cottage, darling, drawingroom, honour, lawyer, mamma, parish, widow"
31,6,8,"ashore, beach, boats, cabin, canoe, island, jungle, natives, prisoners, regiment, rifle, sailors, schooner, ships, troops, vessel, warriors"
32,7,8,"castle, center, color, detective, hadnt, metal, palace, planet, police, prince"
33,0,9,"honour, nation, religious, science"
34,1,9,"colour, darling, drawingroom, hadnt, honour, shouldnt, youve"
